Carimbo de data/hora,Endereço de e-mail,Você costuma organizar suas finanças pessoais ?,Você já utilizou algum aplicativo de finanças ?, Quais controles você faz ou gostaria de fazer? (Você pode escolher mais de uma resposta)  ,O que você não gostou ou sente falta nos aplicativos atuais?   (Você pode escolher mais de uma resposta) ,O que seria essencial para você em um aplicativo de controle financeiro? (Escolha três opções somente),"Sobre educação financeira, o que você gostaria de aprender?   (Você pode escolher mais de uma resposta) ",Conte em poucas palavras qual dificuldade você enfrenta hoje com suas finanças e o que um aplicativo poderia fazer por você.
12/12/2025 00:18:40,REMOVIDO,Às vezes,Não,Gastos/Despesas,Não atende suas necessidades,"Rápido e Intuitivo, Permitir fazer controles personalizados (Agrupar váridas dívidas, por exemplo: ""Gastos com mercado""  = ""Arroz"", ""Feijão"", ""Carne""), Relacionar gastos à diferentes contas (Conseguir registrar diversas contas e vincular gastos apenas para aquela conta ou ""armazenamento de renda"")",Como economizar,Dividas
12/12/2025 00:24:22,REMOVIDO,Às vezes,Não,"Gastos/Despesas, Ganhos/Receitas, Investimentos, Parcelamentos/Prestações, ""Pé de meia""/ ""Caixinha"" / Reserva, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)","Interface Confusa, Muito caro ou necessita pagar qualquer tipo de licença para uso","Simples de usar, Offline (Não necessita de internet para uso), Exportar e importar dados","Como organizar gastos, Como investir de forma básica (CDB e poupança por exemplo)","Renda baixa; Interface rápida, simples e intuitiva para educação financeira

"
12/12/2025 06:04:00,REMOVIDO,Não,Não,Metas e Sonhos (Valores arrecadados ou guardados para um propósito),Interface Confusa,"Simples de usar, Avisos de dívidas a pagar (Seja por e-mail ou notificações), Educação financeira","Como investir de forma básica (CDB e poupança por exemplo), Como planejar metas",Não gosto de ficar preenchendo planilha 
12/12/2025 07:48:38,REMOVIDO,Às vezes,Sim,"Gastos/Despesas, Ganhos/Receitas, Investimentos, Parcelamentos/Prestações, ""Pé de meia""/ ""Caixinha"" / Reserva, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)","Não atende suas necessidades, Muito caro ou necessita pagar qualquer tipo de licença para uso","Avisos de dívidas a pagar (Seja por e-mail ou notificações), Educação financeira, Permitir fazer controles personalizados (Agrupar váridas dívidas, por exemplo: ""Gastos com mercado""  = ""Arroz"", ""Feijão"", ""Carne"")","Como economizar, Como organizar gastos, Como investir de forma básica (CDB e poupança por exemplo), Como planejar metas","Dificuldade em saber o valor real que já está comprometido do meu salario com cartão de credito, por causa das compras com recorrência "
12/12/2025 08:13:59,REMOVIDO,Sim,Não,"Gastos/Despesas, Ganhos/Receitas, Investimentos",Muito caro ou necessita pagar qualquer tipo de licença para uso,"Simples de usar, Avisos de dívidas a pagar (Seja por e-mail ou notificações), Educação financeira",Como investir de forma básica (CDB e poupança por exemplo),"Eu guardo muito dinheiro na caixinha, e as vezes não sobra dinheiro na conta corrente no final do mês para cobrir todos os meus gastos, acho que com o aplicativo, poderia me ajudar a me organizar melhor "
12/12/2025 08:57:54,REMOVIDO,Às vezes,Sim,Gastos/Despesas,Muito caro ou necessita pagar qualquer tipo de licença para uso,"Simples de usar, Offline (Não necessita de internet para uso), Educação financeira","Como organizar gastos, Como investir de forma básica (CDB e poupança por exemplo)",Não se aplica 
12/12/2025 09:08:38,REMOVIDO,Sim,Não,"Gastos/Despesas, Ganhos/Receitas, Investimentos, ""Pé de meia""/ ""Caixinha"" / Reserva, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)",Difícil de Aprender,"Simples de usar, Educação financeira, Rápido e Intuitivo",Como investir de forma básica (CDB e poupança por exemplo),Falta de dinheiro 
12/12/2025 10:22:52,REMOVIDO,Não,Não,"Gastos/Despesas, Investimentos, Parcelamentos/Prestações, ""Pé de meia""/ ""Caixinha"" / Reserva, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)",Difícil de Aprender,"Simples de usar, Avisos de dívidas a pagar (Seja por e-mail ou notificações), Rápido e Intuitivo","Como economizar, Como organizar gastos","Não tenho autocontrole então acabo gastando mais do que deveria, talvez com o aplicativo eu conseguiria me organizar mais."
12/12/2025 11:26:56,REMOVIDO,Às vezes,Sim,"Gastos/Despesas, Investimentos, Parcelamentos/Prestações, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)",Muito caro ou necessita pagar qualquer tipo de licença para uso,"Simples de usar, Rápido e Intuitivo, Permitir fazer controles personalizados (Agrupar váridas dívidas, por exemplo: ""Gastos com mercado""  = ""Arroz"", ""Feijão"", ""Carne"")",Como planejar metas,Facilidade em dividir despesas por categorias mais específicas 
12/12/2025 12:14:57,REMOVIDO,Sim,Sim,"Gastos/Despesas, Ganhos/Receitas, Investimentos, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)",Muito caro ou necessita pagar qualquer tipo de licença para uso,"Exportar e importar dados, Rápido e Intuitivo, Permitir fazer controles personalizados (Agrupar váridas dívidas, por exemplo: ""Gastos com mercado""  = ""Arroz"", ""Feijão"", ""Carne"")",Como planejar metas,.
12/12/2025 12:21:46,REMOVIDO,Sim,Não,"Gastos/Despesas, Investimentos, ""Pé de meia""/ ""Caixinha"" / Reserva, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)","Interface Confusa, Não atende suas necessidades","Avisos de dívidas a pagar (Seja por e-mail ou notificações), Educação financeira, Permitir fazer controles personalizados (Agrupar váridas dívidas, por exemplo: ""Gastos com mercado""  = ""Arroz"", ""Feijão"", ""Carne"")","Como economizar, Como organizar gastos, Como investir de forma básica (CDB e poupança por exemplo)","Não apresento muitas dificuldades, mas precisaria de um para auxiliar minhas despesas"
12/12/2025 13:23:49,REMOVIDO,Às vezes,Não,"Gastos/Despesas, Ganhos/Receitas",Muito caro ou necessita pagar qualquer tipo de licença para uso,"Exportar e importar dados, Educação financeira, Rápido e Intuitivo",Como investir de forma básica (CDB e poupança por exemplo),Pouco dinheiro entrando e muito saindo
12/12/2025 14:11:09,REMOVIDO,Sim,Não,"Gastos/Despesas, Ganhos/Receitas, Parcelamentos/Prestações, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)",Interface Confusa,"Exportar e importar dados, Rápido e Intuitivo, Permitir fazer controles personalizados (Agrupar váridas dívidas, por exemplo: ""Gastos com mercado""  = ""Arroz"", ""Feijão"", ""Carne"")","Como organizar gastos, Como investir de forma básica (CDB e poupança por exemplo)",Ter todos os meus gastos centralizados em um único lugar
12/12/2025 16:02:00,REMOVIDO,Às vezes,Não,"Gastos/Despesas, Investimentos, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)",Muito caro ou necessita pagar qualquer tipo de licença para uso,"Simples de usar, Rápido e Intuitivo, Relacionar gastos à diferentes contas (Conseguir registrar diversas contas e vincular gastos apenas para aquela conta ou ""armazenamento de renda"")","Como organizar gastos, Como investir de forma básica (CDB e poupança por exemplo), Como planejar metas",Falta de organização por falta de tempo e praticidade 
13/12/2025 11:17:42,REMOVIDO,Sim,Não,"Gastos/Despesas, Ganhos/Receitas, Investimentos, Parcelamentos/Prestações, ""Pé de meia""/ ""Caixinha"" / Reserva, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)",Interface Confusa,"Simples de usar, Educação financeira, Rápido e Intuitivo",Como organizar gastos,Interface clara
14/12/2025 09:50:30,REMOVIDO,Às vezes,Não,"Gastos/Despesas, Ganhos/Receitas, Investimentos, Parcelamentos/Prestações, ""Pé de meia""/ ""Caixinha"" / Reserva","Muito complicado, Interface Confusa, Termos técnicos e falta de tutorias, Difícil de Aprender","Simples de usar, Offline (Não necessita de internet para uso), Avisos de dívidas a pagar (Seja por e-mail ou notificações)","Como economizar, Como sair do vermelho, Como organizar gastos, Como planejar metas",Compromisso com os objetivos e organização.
15/12/2025 22:54:22,REMOVIDO,Às vezes,Não,"Gastos/Despesas, Ganhos/Receitas, Investimentos, Parcelamentos/Prestações, ""Pé de meia""/ ""Caixinha"" / Reserva","Termos técnicos e falta de tutorias, Muito caro ou necessita pagar qualquer tipo de licença para uso","Simples de usar, Exportar e importar dados, Permitir fazer controles personalizados (Agrupar váridas dívidas, por exemplo: ""Gastos com mercado""  = ""Arroz"", ""Feijão"", ""Carne"")","Como economizar, Como sair do vermelho, Como investir de forma básica (CDB e poupança por exemplo)","Organização financeira, para reservas e sobras. "
16/12/2025 05:41:47,REMOVIDO,Às vezes,Não,"Gastos/Despesas, Ganhos/Receitas, Investimentos, ""Pé de meia""/ ""Caixinha"" / Reserva",Hábito ,"Rápido e Intuitivo, Permitir fazer controles personalizados (Agrupar váridas dívidas, por exemplo: ""Gastos com mercado""  = ""Arroz"", ""Feijão"", ""Carne""), Outro familiar tambem ter acesso simultaneamente ",Como economizar,Criar o hábito de organizar a parte financeira de forma organizada 
16/12/2025 08:20:10,REMOVIDO,Sim,Não,"Gastos/Despesas, Ganhos/Receitas, Investimentos, Parcelamentos/Prestações, ""Pé de meia""/ ""Caixinha"" / Reserva",Não atende suas necessidades,"Simples de usar, Offline (Não necessita de internet para uso), Exportar e importar dados",Como investir de forma básica (CDB e poupança por exemplo),"Uso app do banco e ele nao ajuda muito, nao tem uma área só pra mostrar finanças...as coisas ficam 1 em casa canto."
16/12/2025 08:40:16,REMOVIDO,Às vezes,Não,"Gastos/Despesas, Ganhos/Receitas, Parcelamentos/Prestações, ""Pé de meia""/ ""Caixinha"" / Reserva, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)",Ainda não usei nenhum para poder comparar,"Simples de usar, Avisos de dívidas a pagar (Seja por e-mail ou notificações), Permitir fazer controles personalizados (Agrupar váridas dívidas, por exemplo: ""Gastos com mercado""  = ""Arroz"", ""Feijão"", ""Carne"")","Como economizar, Como organizar gastos, Como investir de forma básica (CDB e poupança por exemplo)","Organizar quanto estou gastando em determinada despesa, ter o controle de quanto está entrando e saindo."
16/12/2025 08:56:36,REMOVIDO,Às vezes,Não,"Gastos/Despesas, Parcelamentos/Prestações, ""Pé de meia""/ ""Caixinha"" / Reserva",Muito complicado,"Simples de usar, Offline (Não necessita de internet para uso), Educação financeira",Como investir de forma básica (CDB e poupança por exemplo),Saber investir meu dinheiro 
16/12/2025 08:58:03,REMOVIDO,Sim,Não,"Gastos/Despesas, Ganhos/Receitas, Investimentos, Parcelamentos/Prestações, ""Pé de meia""/ ""Caixinha"" / Reserva, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)",Interface Confusa,"Simples de usar, Offline (Não necessita de internet para uso), Avisos de dívidas a pagar (Seja por e-mail ou notificações)","Como economizar, Como investir de forma básica (CDB e poupança por exemplo)",Dificuldade em alimentar o aplicativo 
16/12/2025 12:40:34,REMOVIDO,Sim,Não,Gastos/Despesas,Muito caro ou necessita pagar qualquer tipo de licença para uso,"Simples de usar, Exportar e importar dados, Avisos de dívidas a pagar (Seja por e-mail ou notificações)","Como economizar, Como planejar metas",Tenho dificuldade em economizar e acredito que um app poderia me ajudar a economizar 
19/12/2025 02:15:56,REMOVIDO,Não,Não,"Metas e Sonhos (Valores arrecadados ou guardados para um propósito), ","Difícil de Aprender, Não atende suas necessidades","Simples de usar, Educação financeira, Rápido e Intuitivo",Como investir de forma básica (CDB e poupança por exemplo),Investimentos 
21/12/2025 16:57:39,REMOVIDO,Sim,Sim,"Gastos/Despesas, Ganhos/Receitas, Investimentos","Muito complicado, Interface Confusa, Termos técnicos e falta de tutorias","Simples de usar, Offline (Não necessita de internet para uso), Rápido e Intuitivo","Como economizar, Como sair do vermelho, Como organizar gastos, Como investir de forma básica (CDB e poupança por exemplo), Como planejar metas",Fazer um planejamento Financeiro de forma eficiente
29/12/2025 09:13:04,REMOVIDO,Sim,Sim,Metas e Sonhos (Valores arrecadados ou guardados para um propósito),"Muito complicado, Interface Confusa","Avisos de dívidas a pagar (Seja por e-mail ou notificações), Rápido e Intuitivo, Relacionar gastos à diferentes contas (Conseguir registrar diversas contas e vincular gastos apenas para aquela conta ou ""armazenamento de renda"")",Como investir de forma básica (CDB e poupança por exemplo),"No momento ainda estou a despertar, não tenho nada em mente pra falar."
31/12/2025 12:55:20,REMOVIDO,Às vezes,Não,"Gastos/Despesas, Parcelamentos/Prestações, ""Pé de meia""/ ""Caixinha"" / Reserva, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)",Muito caro ou necessita pagar qualquer tipo de licença para uso,"Offline (Não necessita de internet para uso), Avisos de dívidas a pagar (Seja por e-mail ou notificações), Educação financeira","Como economizar, Como sair do vermelho",Conseguir emergir do dividendo